rviz_x,rviz_y,rviz_theta,gazebo_x,gazebo_y,gazebo_theta
0.6030000000000004,0.0,0.0,-0.002529789695936215,-1.1029974788015276e-05,5.92222651074049e-05
0.6000000000000004,0.0,0.0,0.5979860399547973,2.054954520191661e-05,-0.00021495686517658836
0.6000000000000004,0.0,0.0,0.5978118249383497,1.4884505876616865e-05,-0.0002754770233437826
0.6000000000000004,0.0,0.0,0.5980897427010431,1.4286336726776626e-05,-0.0002805976201497845
0.6000000000000004,0.0,0.0,0.5979467063572754,1.4121352956274174e-05,-0.00028297058105338163
0.6000000000000004,0.0,0.0,0.5979188858854961,1.4503846544807401e-05,-0.0002793036721606066
0.6000000000000004,0.0,0.0,0.5980004175980617,1.5232814306123141e-05,-0.0002707419708073028
0.6000000000000004,0.0,0.0,0.5979128814900232,1.861208280587561e-05,-0.00023103188893074767
0.6000000000000004,0.0,0.0,0.5978777334274161,1.3007602624922453e-05,-0.0002952189978113893
0.6000000000000004,0.0,0.0,0.5979827547847077,1.5462501670393556e-05,-0.0002684468362884916
0.6000000000000004,0.0,0.0,0.5979126970206662,1.417427939845345e-05,-0.00028149501832590095
0.0,0.0,0.6000000000000005,0.0051168653236845375,-0.024517371059085538,0.5069302376696573
0.0,0.0,0.6000000000000005,0.005082196486590162,-0.024478704883956807,0.505984693993611
0.0,0.0,0.6000000000000005,0.005092955885402857,-0.02447852047951616,0.5060328323070655
0.0,0.0,0.6000000000000005,0.005055059493344434,-0.024397420111247875,0.5041945950536614
0.0,0.0,0.6000000000000005,0.005087830905717426,-0.024469262455811398,0.5058030643237491
0.0,0.0,0.6000000000000005,0.005093002228612059,-0.02448538572746763,0.5061729946586092
0.0,0.0,0.6000000000000005,0.005092748118902197,-0.024456404910745,0.5055593088177772
0.0,0.0,0.6000000000000005,0.005118543023766625,-0.02450270083983938,0.5066345270545356
0.0,0.0,0.6000000000000005,0.00508993457518118,-0.024469066316944333,0.5058574376175696
0.0,0.0,0.6000000000000005,0.005057344231566656,-0.024417147450781468,0.5046496926558847
