rviz_x,rviz_y,rviz_z,rviz_theta,gazebo_x,gazebo_y,gazebo_z,gazebo_theta
0.0,0.0,0.0,0.0,0.04530541777484438,-0.007081045782068358,0.07364153018350122,0.1474172664827927
0.3000000000000002,0.0,0.0,0.0,0.24295880012400642,-5.758498754272046e-06,-1.3219971735297515e-05,-2.652650925883811e-05
0.3000000000000002,0.0,0.0,0.0,0.2916534387202752,3.274746265604348e-05,0.00024410917482793582,0.00048623851494039274
0.3000000000000002,0.0,0.0,0.0,0.2916573746107613,8.522043058629728e-05,0.0005679387745015883,0.0011310582625393794
0.3030000000000002,0.0,0.0,0.0,0.2919439569243353,0.00012604343785432322,0.0007570531641080188,0.0015020828093078708
0.3000000000000002,0.0,0.0,0.0,0.2916214549570571,7.0289587429212555e-06,8.301158981434837e-05,0.00016536143357161672
0.3000000000000002,0.0,0.0,0.0,0.29163600494354297,1.698380770221471e-05,0.0001480714902061828,0.0002943145925526742
0.3000000000000002,0.0,0.0,0.0,0.2916525504081802,3.507980271184377e-05,0.0002487517709581302,0.0004952470725174168
0.3000000000000002,0.0,0.0,0.0,0.29133531593653744,6.59794197710803e-05,0.0004385681523618452,0.0008734624512464639
0.3030000000000002,0.0,0.0,0.0,0.29192514229631084,6.008732793044827e-05,0.00039203720932179663,0.0007771100857342383
0.0,0.0,0.25881904510252096,0.5235987755982993,0.04640602876319443,-0.003760186287319817,0.04055977955175976,0.08073119816726314
0.0,0.0,0.2613469431552898,0.5288347633542824,-0.00016733959018644417,-0.007136616846564322,0.07533529872381295,0.15010192838683026
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00025783626956785675,-0.006985530924500256,0.07390093496256225,0.14723087610842367
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.0002140988281694999,-0.007084877733633019,0.07494281276152703,0.1493179712290397
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00021314510705630868,-0.007102321762967372,0.07513840893907626,0.1499458871074855
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00020128973831690003,-0.00706985052171238,0.07482785954450986,0.14932166103842032
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00018960750291309165,-0.007092369970819981,0.07500526148368596,0.1494400318499922
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00021641837872262175,-0.007024764312511026,0.0743761484674561,0.14841608317350077
0.0,0.0,0.2562893731329968,0.5183627878423163,-0.00023483939553727462,-0.007022618669226045,0.07424851995728032,0.1481634609635858
0.0,0.0,0.25881904510252096,0.5235987755982993,-0.00023931209119924335,-0.0070217601285385,0.07425412491730209,0.14793920908387548
